geo	id
SRR17212194	FFC11
SRR17212195	FFC107
SRR17212196	FFC105
SRR17212197	FFC99
SRR17212198	FFC98
SRR17212199	FFC97
SRR17212200	FFC96
SRR17212201	FFC95
SRR17212202	FFC94
SRR17212203	FFC93
SRR17212204	FFC92
SRR17212205	FFC91
SRR17212206	FFC9
SRR17212207	FFC103
SRR17212208	FFC89
SRR17212209	FFC88
SRR17212210	FFC87
SRR17212211	FFC86
SRR17212212	FFC84
SRR17212213	FFC83
SRR17212214	FFC82
SRR17212215	FFC81
SRR17212216	FFC80
SRR17212217	FFC8
SRR17212218	FFC102
SRR17212219	FFC74
SRR17212220	FFC7
SRR17212221	FFC65
SRR17212222	FFC64
SRR17212223	FFC51
SRR17212224	FFC5
SRR17212225	FFC37
SRR17212226	FFC13
SRR17212227	FFC124
SRR17212228	FFC36
SRR17212229	FFC35
SRR17212230	FFC34
SRR17212231	FFC101
SRR17212232	FFC33
SRR17212233	FFC30
SRR17212234	FFC27
SRR17212235	FFC24
SRR17212236	FFC23
SRR17212237	FFC22
SRR17212238	FFC21
SRR17212239	FFC17
SRR17212240	FFC16
SRR17212241	FFC14
SRR17212242	FFC100
SRR17212243	FFC1
